"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","area4km","area2km","area1km","kd490_value"
"16",17,2006,"19-Mar-06","Ko Bai Dang","Thailand",11.8842,102.455,3,"Bleaching (% of population)",0,"ERG050",1.06,302.73,0,0,0,0.0476192512842642
"17",18,2006,"12-Nov-06","Hin Bai Dang","Thailand",11.9011,102.471,7,"Bleaching (% of population)",4,"ERG050",4.38,303.66,0,0,0,0.0545008671813857
"18",19,2006,"08-Dec-06","Koh Kood","Thailand",11.755,102.544,5.5,"Bleaching (% of population)",0,"ERG050",10.16,304.1,11792,0,0,0.054599998620688
"19",20,2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,6,"Bleaching (% of population)",4,"ERG049",1.31,301.48,0,0,0,0.0767999980598688
"20",21,2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,7.6,"Bleaching (% of population)",3,"ERG049",1.31,301.48,0,0,0,0.0767999980598688
"21",22,2009,"13-Jun-09","Pulau Rawa, Coral Garden","Malaysia",5.96269,102.681,4.2,"Bleaching (% of population)",0,"ERG049",8.82,304.84,0,0,0,0.0505999987217365
"22",23,2007,"29-Sep-07","Sea Bell","Malaysia",5.95239,102.708,11.5,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0457999988429947
"23",24,2007,"30-Sep-07","Sea Bell","Malaysia",5.95239,102.708,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0457999988429947
"24",25,2008,"30-May-08","Sea Bell","Malaysia",5.95239,102.708,6,"Bleaching (% of population)",6,"ERG049",0,303.85,0,0,0,0.0513999987015268
"25",26,2008,"31-May-08","Sea Bell","Malaysia",5.95239,102.708,11.5,"Bleaching (% of population)",2,"ERG049",0,303.85,0,0,0,0.0513999987015268
"26",27,2008,"05-Oct-08","Sea Bell","Malaysia",5.95239,102.708,5,"Bleaching (% of population)",2,"ERG049",0,301.54,0,0,0,0.0551999986055307
"27",28,2009,"08-May-09","Sea Bell","Malaysia",5.95239,102.708,9,"Bleaching (% of population)",0,"ERG049",2.88,304.92,0,0,0,0.0521999986813171
"28",29,2010,"21-Sep-10","Sea Bell","Malaysia",5.95239,102.708,5,"Bleaching (% of population)",6,"ERG049",6.85,304.57,0,0,0,0.0523999986762647
"29",30,2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",2,"ERG049",1.12,303.34,0,0,0,0.0749999981053406
"30",31,2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,10.3,"Bleaching (% of population)",2,"ERG049",1.12,303.34,0,0,0,0.0749999981053406
"31",32,2007,"12-Apr-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",1,"ERG049",6.23,304.15,0,0,0,0.0499999987368938
"32",33,2007,"29-Sep-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0565999985701637
"33",34,2008,"30-May-08","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",0,"ERG049",0,303.85,0,0,0,0.0579999985347968
"34",35,2009,"08-May-09","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,7.5,"Bleaching (% of population)",12,"ERG049",2.88,304.92,0,0,0,0.0715999981912319
"35",36,2007,"12-Apr-07","Batu Nisan","Malaysia",5.92131,102.725,6,"Bleaching (% of population)",1,"ERG049",6.23,304.15,0,0,0,0.0499999987368938
"36",37,2007,"30-Sep-07","Batu Nisan","Malaysia",5.92131,102.725,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0565999985701637
"37",38,2008,"31-May-08","Batu Nisan","Malaysia",5.92131,102.725,5.1,"Bleaching (% of population)",0,"ERG049",0,303.85,0,0,0,0.0579999985347968
"38",39,2009,"09-May-09","Batu Nisan","Malaysia",5.92131,102.725,5.5,"Bleaching (% of population)",0,"ERG049",2.88,304.92,0,0,0,0.0715999981912319
"39",40,2010,"22-Sep-10","Batu Nisan","Malaysia",5.92131,102.725,5,"Bleaching (% of population)",9,"ERG049",7.44,304.66,0,0,0,0.0641999983781716
"40",41,2007,"09-Jun-07","Coral View Reef","Malaysia",5.90347,102.74,5,"Bleaching (% of population)",115,"ERG049",2.37,303.93,0,0,0,0.0459999988379423
"41",42,2009,"31-Mar-09","Tiga Ruang Reef","Malaysia",5.91697,102.754,8,"Bleaching (% of population)",0,"ERG049",1.47,302.8,0,0,0,0.0967999975546263
"42",43,2009,"13-Jun-09","Tiga Ruang Reef","Malaysia",5.91697,102.754,7,"Bleaching (% of population)",0,"ERG049",7.43,304.8,0,0,0,0.0519999986863695
"43",44,2010,"23-Sep-10","Tiga Ruang Reef","Malaysia",5.91697,102.754,9,"Bleaching (% of population)",0,"ERG049",15.72,304.64,0,0,0,0.0643999983731192
"44",45,2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,3,"Bleaching (% of population)",7,"ERG049",2.33,302.53,0,0,0,0.071999998181127
"45",46,2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,11,"Bleaching (% of population)",8,"ERG049",2.33,302.53,0,0,0,0.071999998181127
"46",47,2008,"27-Sep-08","Tanjung Besi","Malaysia",5.92356,102.758,5.7,"Bleaching (% of population)",2,"ERG049",1.61,302.6,0,0,0,0.078599998014397
"47",48,2009,"09-May-09","Tanjung Besi","Malaysia",5.92356,102.758,6,"Bleaching (% of population)",3,"ERG049",2.59,304.77,0,0,0,0.0499999987368938
"48",49,2010,"21-Sep-10","Tanjung Besi","Malaysia",5.92356,102.758,5,"Bleaching (% of population)",60,"ERG049",15.05,304.57,0,0,0,0.0643999983731192
"49",50,2004,"28-Aug-04","NW Redang","Malaysia",5.80306,102.992,10.6,"Bleaching (% of population)",0,"ERG049",0,301.79,43881,0,0,0.0427999989187811
"50",51,2004,"12-Jul-04","West Pinang/Tanjung Bakong","Malaysia",5.77361,102.993,6,"Bleaching (% of population)",0,"ERG049",0.2575,302.1,262337,225210,0,0.110027599797614
"51",52,2004,"12-Jul-04","East Pinang","Malaysia",5.73417,102.997,6,"Bleaching (% of population)",0,"ERG049",0,302.52,204033,0,0,0.0361999990855111
"52",53,2007,"21-Apr-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5.5,"Bleaching (% of population)",15,"ERG049",2.52,303.39,262337,86067,21922,0.0379999990400393
"53",54,2007,"01-Oct-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5,"Bleaching (% of population)",0,"ERG049",2.55,302.86,262337,86067,21922,0.0563999985752162
"54",55,2008,"27-Jun-08","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5,"Bleaching (% of population)",0,"ERG049",0,300.92,262337,86067,21922,0.0527999986661598
"55",56,2008,"27-Jun-08","Chagar Hutang East","Malaysia",5.81766,103.01,10,"Bleaching (% of population)",0,"ERG049",1.44,301.54,0,0,0,0.0429999989137286
"56",57,2009,"16-May-09","Chagar Hutang East","Malaysia",5.81766,103.01,10.3,"Bleaching (% of population)",0,"ERG049",4.36,305.26,0,0,0,0.0393999990046723
"57",58,2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,5,"Bleaching (% of population)",0,"ERG049",0,301.9,262337,0,0,0.0717219240176898
"58",59,2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,10,"Bleaching (% of population)",0,"ERG049",0,301.9,262337,0,0,0.0717219240176898
"59",60,2008,"28-Jun-08","Redang Kalong House Reef","Malaysia",5.76222,103.028,7,"Bleaching (% of population)",0,"ERG049",1.10625,301.48,262337,0,0,0.0463999988278374
"60",61,2009,"15-Aug-09","Redang Kalong House Reef","Malaysia",5.76222,103.028,4.5,"Bleaching (% of population)",0,"ERG049",9.655,302.9,262337,0,0,0.0393999990046723
"61",62,2004,"25-Sep-04","Pertigi Bay, Redang Island","Malaysia",5.76647,103.032,3,"Bleaching (% of population)",5,"ERG049",0,301.98,262337,0,0,0.0437999988935189
"62",63,2004,"23-Sep-04","Tg Tengah Southside, Pasir Panjang, Redang Island","Malaysia",5.77447,103.033,3.2,"Bleaching (% of population)",0,"ERG049",0,301.98,233911,0,0,0.0437999988935189
"63",64,2004,"23-Sep-04","Coral Resort House Reef, Redang Island","Malaysia",5.77583,103.034,3,"Bleaching (% of population)",3,"ERG049",0,301.98,231392,0,0,0.0437999988935189
"64",65,2003,"18-Oct-03","Coral Redang House Reef North","Malaysia",5.77722,103.034,6,"Bleaching (% of population)",0,"ERG049",0,300.69,230793,0,0,0.0499999987368938
"65",66,2003,"16-Oct-03","Mini Mount","Malaysia",5.76944,103.034,12,"Bleaching (% of population)",4,"ERG049",0,300.69,233911,0,0,0.0499999987368938
"66",67,2003,"17-Oct-03","Pulau Paku Kecil","Malaysia",5.76861,103.036,12,"Bleaching (% of population)",0,"ERG049",0,300.69,233911,0,0,0.0499999987368938
"67",68,2003,"18-Oct-03","Pelangi House Reef South","Malaysia",5.78278,103.036,7,"Bleaching (% of population)",0,"ERG049",0,300.69,200298,0,0,0.0499999987368938
"68",69,2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,10,"Bleaching (% of population)",7,"ERG049",0,300.69,0,0,0,0.0499999987368938
"69",70,2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,12,"Bleaching (% of population)",0,"ERG049",0,300.69,0,0,0,0.0499999987368938
"70",71,2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,6,"Bleaching (% of population)",0,"ERG049",0,302.23,0,0,0,0.0717219240176898
"71",72,2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,12,"Bleaching (% of population)",0,"ERG049",0,302.23,0,0,0,0.0717219240176898
"72",73,2009,"15-Aug-09","Kerengga Kecil North West","Malaysia",5.75856,103.03,6.4,"Bleaching (% of population)",0,"ERG049",10.38,303,262337,0,0,0.0393999990046723
"73",74,2004,"11-Jul-04","Palau Kerenga Kecil","Malaysia",5.75528,103.03,9.4,"Bleaching (% of population)",0,"ERG049",0,301.66,262337,0,0,0.109977021959124
"74",75,2004,"29-Aug-04","Tanjung Teluk Nyato","Malaysia",5.84611,103.03,8.7,"Bleaching (% of population)",0,"ERG049",0,301.69,0,0,0,0.0357999990956159
"75",76,2003,"19-Feb-03","Koh Mano (Minor)","Cambodia",10.8461,103.174,4.5,"Bleaching (% of population)",0,"ERG050",2.28,301.6,1466389,23473,0,0.0414518860090296
"76",77,2003,"22-Feb-03","Koh Mano (channel)","Cambodia",10.8389,103.182,2,"Bleaching (% of population)",0,"ERG050",2.28,301.6,581054,0,0,0.0414518860090296
"77",78,2003,"28-Feb-03","Koh Mano (south)","Cambodia",10.8256,103.193,4.5,"Bleaching (% of population)",0,"ERG050",1.08,303.02,0,0,0,0.171999995654915
"78",79,2003,"24-Feb-03","Koh Ta Team","Cambodia",10.8007,103.197,5,"Bleaching (% of population)",0,"ERG050",1.26,301.49,0,0,0,0.0419202457161036
"79",80,2009,"15-Feb-09","Tuear Khang Cherng","Cambodia",10.7799,103.235,4,"Bleaching (% of population)",15,"ERG050",0.171666667,301.9166667,67958,62727,0,0.106199997317162
"80",81,2009,"14-Feb-09","Poy Koh Rong","Cambodia",10.7739,103.255,4,"Bleaching (% of population)",0,"ERG050",0,302.25,67958,67958,0,0.0445330492428556
"81",82,2010,"16-Apr-10","KR24","Cambodia",10.6647,103.257,7,"Bleaching (% of population)",6,"ERG050",6.313333333,304.5766667,0,0,0,0.0659999983326998
"82",83,2010,"28-Sep-10","Coral Garden 3, Kapas","Malaysia",5.23222,103.26,8.5,"Bleaching (% of population)",20,"ERG049",2.07,303.61,0,0,0,0.0548364037936953
"83",84,2010,"28-Sep-10","Coral Garden 1, Kapas","Malaysia",5.23306,103.261,5.5,"Bleaching (% of population)",40,"ERG049",2.07,303.61,0,0,0,0.0548364037936953
"84",85,2009,"13-Aug-09","KR22A","Cambodia",10.6514,103.262,4,"Bleaching (% of population)",2,"ERG050",0,299.15,0,0,0,0.109799997226219
"85",86,2009,"14-Feb-09","Kos Borng (Koh Rong)","Cambodia",10.7593,103.265,3,"Bleaching (% of population)",5,"ERG050",0,302.25,121900,977,0,0.0445330492428556
"86",87,2009,"18-Sep-09","KS06A","Cambodia",10.6073,103.278,9,"Bleaching (% of population)",0,"ERG050",0,301.61,62112,0,0,0.0822733870429383
"87",88,2009,"13-Aug-09","KS04A","Cambodia",10.6096,103.279,6,"Bleaching (% of population)",0,"ERG050",0,299.2,62112,0,0,0.105199997342424
"88",89,2010,"27-Sep-10","Teluk Jawa, Kapas","Malaysia",5.20889,103.268,5,"Bleaching (% of population)",20,"ERG049",2.07,303.61,0,0,0,0.0548364037936953
"89",90,2009,"31-Aug-09","KR21A","Cambodia",10.6498,103.269,8,"Bleaching (% of population)",0,"ERG050",0,300.29,0,0,0,0.104199997367687
"90",91,2010,"28-Sep-10","Silent Reef, Kapas","Malaysia",5.22694,103.269,8,"Bleaching (% of population)",40,"ERG049",2.07,303.61,0,0,0,0.0548364037936953
"91",92,2010,"17-Apr-10","KS02","Cambodia",10.6206,103.287,9,"Bleaching (% of population)",0,"ERG050",5.86625,304.65125,62112,0,0,0.0657999983377522
"92",93,2009,"11-Sep-09","KS05A","Cambodia",10.6211,103.288,8,"Bleaching (% of population)",5,"ERG050",0,301.79875,62112,0,0,0.0832124717363022
"93",94,2009,"28-Aug-09","KS03C","Cambodia",10.6222,103.289,10,"Bleaching (% of population)",0,"ERG050",0,301.065,62112,0,0,0.105199997342424
"94",95,2009,"27-Aug-09","KS03A","Cambodia",10.6223,103.29,9,"Bleaching (% of population)",0,"ERG050",0,301.065,62112,0,0,0.105199997342424
"95",96,2009,"27-Aug-09","KS03B","Cambodia",10.6225,103.29,5,"Bleaching (% of population)",0,"ERG050",0,301.065,62112,0,0,0.105199997342424
"96",97,2009,"14-Aug-09","KR18A","Cambodia",10.6701,103.291,4,"Bleaching (% of population)",2,"ERG050",10.52,302.05,0,0,0,0.109999997221166
"97",98,2009,"14-Aug-09","KR17A","Cambodia",10.6688,103.292,5,"Bleaching (% of population)",0,"ERG050",10.52,302.05,0,0,0,0.109999997221166
"98",99,2010,"22-Mar-10","KR17A","Cambodia",10.6688,103.292,4,"Bleaching (% of population)",1,"ERG050",5.18,304.23,0,0,0,0.033796957321122
"99",100,2009,"10-Mar-09","Fishing Bay","Cambodia",10.6231,103.295,5,"Bleaching (% of population)",110,"ERG050",0,303.34,62112,13676,0,0.0511999987065792
"100",101,2009,"18-Mar-09","Fishing Bay","Cambodia",10.6231,103.295,3,"Bleaching (% of population)",65,"ERG050",2.64,304.36,62112,13676,0,0.0511999987065792
"101",102,2009,"14-Apr-09","Fishing Bay","Cambodia",10.6231,103.295,3,"Bleaching (% of population)",0,"ERG050",5.38,303.84,62112,13676,0,0.0326428414630674
"102",103,2009,"26-Jul-09","Fishing Bay","Cambodia",10.6231,103.295,3,"Bleaching (% of population)",0,"ERG050",0,302,62112,13676,0,0.0549896388986146
"103",104,2009,"24-Aug-09","KK03B","Cambodia",10.6305,103.295,10,"Bleaching (% of population)",0,"ERG050",0,301.51,62112,0,0,0.105199997342424
"104",105,2010,"03-Apr-10","KK03","Cambodia",10.6292,103.295,8,"Bleaching (% of population)",0,"ERG050",5.21,303.32,62112,0,0,0.0657999983377522
"105",106,2010,"17-Apr-10","KK03","Cambodia",10.6292,103.295,3,"Bleaching (% of population)",0,"ERG050",5.21,304.39,62112,0,0,0.0657999983377522
"106",107,2009,"12-Aug-09","KK03A","Cambodia",10.6263,103.297,4,"Bleaching (% of population)",1,"ERG050",0,301.61,62112,0,0,0.105199997342424
"107",108,2009,"08-Aug-09","KR12A","Cambodia",10.7111,103.297,3,"Bleaching (% of population)",0,"ERG050",10.92,303.64,73293,0,0,0.0583832561500337
"108",109,2009,"03-Sep-09","KK03C","Cambodia",10.626,103.298,6,"Bleaching (% of population)",0,"ERG050",0,301.39,62112,0,0,0.0832124717363022
"109",110,2009,"01-Aug-09","KR02A","Cambodia",10.6793,103.299,3,"Bleaching (% of population)",0,"ERG050",10.52,302.7,0,0,0,0.109999997221166
"110",111,2009,"11-Aug-09","KK04A","Cambodia",10.6258,103.299,4,"Bleaching (% of population)",0,"ERG050",0,301.72,62112,0,0,0.105199997342424
"111",112,2010,"02-Apr-10","KK01A","Cambodia",10.6358,103.299,9,"Bleaching (% of population)",4,"ERG050",5.21,303.32,62112,0,0,0.0657999983377522
"112",113,2009,"05-Aug-09","KK06A","Cambodia",10.6341,103.305,4,"Bleaching (% of population)",0,"ERG050",0,301.72,62112,0,0,0.105199997342424
"113",114,2009,"31-Aug-09","KR05C","Cambodia",10.6875,103.307,3,"Bleaching (% of population)",0,"ERG050",10.52,301.57,0,0,0,0.109999997221166
"114",115,2009,"07-Aug-09","KR06A","Cambodia",10.6905,103.312,4,"Bleaching (% of population)",1,"ERG050",10.52,302.36,0,0,0,0.109999997221166
"115",116,2009,"22-Apr-09","Vietnamese Bay","Cambodia",10.6257,103.313,4,"Bleaching (% of population)",10,"ERG050",5.38,303.64,62112,0,0,0.0326428414630674
"116",117,2009,"07-Aug-09","KR06B","Cambodia",10.6917,103.313,4,"Bleaching (% of population)",1,"ERG050",10.52,302.36,0,0,0,0.0595918992130666
"117",118,2009,"11-Aug-09","KS12A","Cambodia",10.6258,103.313,4,"Bleaching (% of population)",1,"ERG050",0,301.72,62112,0,0,0.0607924984642523
"118",119,2009,"02-Sep-09","KS12B","Cambodia",10.6257,103.313,3,"Bleaching (% of population)",0,"ERG050",0,301.39,62112,0,0,0.0832124717363022
"119",120,2009,"18-Aug-09","KK01A","Cambodia",10.6366,103.301,5,"Bleaching (% of population)",0,"ERG050",0,301.61,62112,0,0,0.105199997342424
"120",121,2009,"03-Aug-09","KR07A","Cambodia",10.6993,103.316,5,"Bleaching (% of population)",1,"ERG050",10.52,302.7,0,0,0,0.0585475033816267
"121",122,2007,"20-Apr-07","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,10,"Bleaching (% of population)",10,"ERG049",4.28,303.3,223921,0,0,0.0394916849740421
"122",123,2007,"01-Oct-07","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,11,"Bleaching (% of population)",0,"ERG049",4.22,302.49,223921,0,0,0.0569999985600589
"123",124,2008,"30-Mar-08","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,8,"Bleaching (% of population)",0,"ERG049",4.43,303.27,223921,0,0,0.0655999983428046
"124",125,2008,"20-Jun-08","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,11,"Bleaching (% of population)",0,"ERG049",3.83,303.17,223921,0,0,0.0463999988278374
"125",126,2009,"14-Aug-09","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,9.7,"Bleaching (% of population)",0,"ERG049",10.38,303,223921,0,0,0.0393999990046723
"126",127,2009,"27-May-09","Koh Poah (Site 7)","Cambodia",10.632,103.477,2.5,"Bleaching (% of population)",0,"ERG050",0,303.6,0,0,0,0.0380107412272679
"127",128,2009,"26-May-09","Koh Poah (Site 2)","Cambodia",10.624,103.477,3,"Bleaching (% of population)",0,"ERG050",0,303.68,0,0,0,0.0380107412272679
"128",129,2009,"27-May-09","Koh Poah (Site 5)","Cambodia",10.6318,103.487,3,"Bleaching (% of population)",0,"ERG050",0,303.6,0,0,0,0.0380107412272679
"129",130,2009,"29-May-09","Koh Poah (Site 8)","Cambodia",10.6261,103.487,4,"Bleaching (% of population)",0,"ERG050",0,303.6,0,0,0,0.0380107412272679
"130",131,2009,"29-May-09","Koh Poah (Site 6)","Cambodia",10.6231,103.484,4,"Bleaching (% of population)",0,"ERG050",0,303.6,0,0,0,0.0380107412272679
"131",132,2009,"29-May-09","Koh Poah (Site 3)","Cambodia",10.6329,103.498,3,"Bleaching (% of population)",0,"ERG050",0.28,303.21,0,0,0,0.0380107412272679
"132",133,2009,"26-May-09","Koh Poah (Site 4)","Cambodia",10.6248,103.485,3,"Bleaching (% of population)",0,"ERG050",0,303.68,0,0,0,0.0380107412272679
"133",134,2009,"28-May-09","Koh Poah (Site 1)","Cambodia",10.6324,103.485,3,"Bleaching (% of population)",40,"ERG050",0,303.6,0,0,0,0.0380107412272679
"134",135,2007,"21-Apr-07","Pulau Lima Southern Tip","Malaysia",5.77169,103.059,10,"Bleaching (% of population)",22,"ERG049",4.28,303.3,0,0,0,0.0394916849740421
"135",136,2007,"01-Oct-07","Pulau Lima Southern Tip","Malaysia",5.77169,103.059,10,"Bleaching (% of population)",0,"ERG049",4.22,302.49,0,0,0,0.0569999985600589
"136",137,2008,"28-Jun-08","Pulau Lima Southern Tip","Malaysia",5.77169,103.059,5.5,"Bleaching (% of population)",0,"ERG049",3.83,301.76,0,0,0,0.0463999988278374
"137",138,2009,"15-Aug-09","Pulau Lima Southern Tip","Malaysia",5.77169,103.059,6.4,"Bleaching (% of population)",0,"ERG049",10.38,303,0,0,0,0.0393999990046723
"138",139,2004,"13-Jul-04","East Palau Pinang","Malaysia",5.73861,103.5,10,"Bleaching (% of population)",0,"ERG049",0,301.77,0,0,0,0.0509999987116316
"139",140,2003,"25-Feb-03","Koh Krosa Krao","Cambodia",11.0601,103.071,6,"Bleaching (% of population)",0,"ERG050",7.84,301.86,152892,0,0,0.11459999710496
"140",141,2003,"27-Feb-03","Koh Krosa Kandal","Cambodia",11.0662,103.077,3.2,"Bleaching (% of population)",0,"ERG050",6.152,303.1,168445,0,0,0.11459999710496
"141",142,2009,"07-Aug-09","Gua Rajawali","Malaysia",4.82033,103.683,5.6,"Bleaching (% of population)",0,"ERG049",1.14,300.9,0,0,0,0.0513999987015268
"142",143,2009,"07-Aug-09","Gua Rajawali","Malaysia",4.82033,103.683,8.5,"Bleaching (% of population)",0,"ERG049",1.14,300.9,0,0,0,0.0513999987015268
"143",144,2007,"10-Apr-07","Fresh Water Bay, Tenggol","Malaysia",4.80761,103.678,6,"Bleaching (% of population)",20,"ERG049",3.44,300.82,0,0,0,0.0447999988682568
"144",145,2009,"08-Aug-09","Fresh Water Bay, Tenggol","Malaysia",4.80761,103.678,5.1,"Bleaching (% of population)",4,"ERG049",1.14,300.9,0,0,0,0.0527999986661598
"145",146,2009,"08-Aug-09","Rajawali Reef","Malaysia",4.82156,103.69,5.4,"Bleaching (% of population)",0,"ERG049",1.14,300.9,0,0,0,0.046599998822785
"146",147,2009,"08-Aug-09","Rajawali Reef","Malaysia",4.82156,103.69,12,"Bleaching (% of population)",0,"ERG049",1.14,300.9,0,0,0,0.046599998822785
"147",148,2009,"08-Aug-09","Teluk Nakhoda","Malaysia",4.82228,103.685,7.3,"Bleaching (% of population)",0,"ERG049",1.14,300.9,0,0,0,0.0513999987015268
"148",149,2004,"14-Aug-04","South Pinang","Malaysia",5.74889,103.783,11.2,"Bleaching (% of population)",0,"ERG049",0,301.25,0,0,0,0.0471999988076277
"149",150,2006,"16-May-06","PQO02","Vietnam",10.3592,103.809,5.5,"Bleaching (% of population)",0,"ERG050",0,302.09,0,0,0,0.116199997064541
"150",151,2006,"16-May-06","PQO01","Vietnam",10.3728,103.813,5.7,"Bleaching (% of population)",0,"ERG050",2.23,303.28,0,0,0,0.0365333584216079
"151",152,2003,"26-Feb-03","Koh Krosa Khnong","Cambodia",11.052,103.087,4.5,"Bleaching (% of population)",50,"ERG050",6.152,303.1,168445,115299,0,0.11459999710496
"152",153,2003,"18-Feb-03","Koh Smach","Cambodia",10.8968,103.099,3,"Bleaching (% of population)",0,"ERG050",3.75,302.41,417760,0,0,0.0967999975546263
"153",154,2006,"16-May-06","PQO03","Vietnam",10.3225,103.842,2.5,"Bleaching (% of population)",0,"ERG050",1.06,302.53,6695,0,0,0.0997999974788399
"154",155,2006,"16-May-06","PQO03","Vietnam",10.3225,103.842,5.5,"Bleaching (% of population)",0,"ERG050",1.06,302.53,6695,0,0,0.0997999974788399
"155",156,2006,"15-May-06","PQO04","Vietnam",10.2989,103.863,2.5,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,15956,9629,0,0.034285437527079
"156",157,2006,"15-May-06","PQO04","Vietnam",10.2989,103.863,6,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,15956,9629,0,0.034285437527079
"157",158,2006,"15-May-06","PQO05","Vietnam",10.2911,103.886,2.5,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,61240,0,0,0.034285437527079
"158",159,2006,"15-May-06","PQO05","Vietnam",10.2911,103.886,6,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,61240,0,0,0.034285437527079
