"","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","area4km","area2km","area1km","kd490_value","MPA","STATUS_YR","gmw1km"
"20",2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",5.94122,102.667,7.6,"Bleaching (% of population)",3,"ERG049",1.31,301.48,0,0,0,0.0767999980598688,"Non MPA","Non MPA",NA
"22",2007,"29-Sep-07","Sea Bell","Malaysia",5.95239,102.708,11.5,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0457999988429947,"Non MPA","Non MPA",NA
"23",2007,"30-Sep-07","Sea Bell","Malaysia",5.95239,102.708,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0457999988429947,"Non MPA","Non MPA",NA
"29",2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",2,"ERG049",1.12,303.34,0,0,0,0.0749999981053406,"MPA","MPA",NA
"30",2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,10.3,"Bleaching (% of population)",2,"ERG049",1.12,303.34,0,0,0,0.0749999981053406,"MPA","MPA",NA
"31",2007,"12-Apr-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",1,"ERG049",6.23,304.15,0,0,0,0.0499999987368938,"MPA","MPA",NA
"32",2007,"29-Sep-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",5.93158,102.723,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0565999985701637,"MPA","MPA",NA
"35",2007,"12-Apr-07","Batu Nisan","Malaysia",5.92131,102.725,6,"Bleaching (% of population)",1,"ERG049",6.23,304.15,0,0,0,0.0499999987368938,"MPA","MPA",NA
"36",2007,"30-Sep-07","Batu Nisan","Malaysia",5.92131,102.725,6,"Bleaching (% of population)",0,"ERG049",7.48,302.68,0,0,0,0.0565999985701637,"MPA","MPA",NA
"40",2007,"09-Jun-07","Coral View Reef","Malaysia",5.90347,102.74,5,"Bleaching (% of population)",115,"ERG049",2.37,303.93,0,0,0,0.0459999988379423,"Non MPA","Non MPA",NA
"44",2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,3,"Bleaching (% of population)",7,"ERG049",2.33,302.53,0,0,0,0.071999998181127,"Non MPA","Non MPA",NA
"45",2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,11,"Bleaching (% of population)",8,"ERG049",2.33,302.53,0,0,0,0.071999998181127,"Non MPA","Non MPA",NA
"49",2004,"28-Aug-04","NW Redang","Malaysia",5.80306,102.992,10.6,"Bleaching (% of population)",0,"ERG049",0,301.79,43881,0,0,0.0427999989187811,"Non MPA","Non MPA",NA
"50",2004,"12-Jul-04","West Pinang/Tanjung Bakong","Malaysia",5.77361,102.993,6,"Bleaching (% of population)",0,"ERG049",0.2575,302.1,262337,225210,0,0.110027599797614,"Non MPA","Non MPA",NA
"51",2004,"12-Jul-04","East Pinang","Malaysia",5.73417,102.997,6,"Bleaching (% of population)",0,"ERG049",0,302.52,204033,0,0,0.0361999990855111,"Non MPA","Non MPA",NA
"52",2007,"21-Apr-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5.5,"Bleaching (% of population)",15,"ERG049",2.52,303.39,262337,86067,21922,0.0379999990400393,"Non MPA","Non MPA",NA
"53",2007,"01-Oct-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5,"Bleaching (% of population)",0,"ERG049",2.55,302.86,262337,86067,21922,0.0563999985752162,"Non MPA","Non MPA",NA
"57",2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,5,"Bleaching (% of population)",0,"ERG049",0,301.9,262337,0,0,0.0717219240176898,"MPA","MPA",NA
"58",2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,10,"Bleaching (% of population)",0,"ERG049",0,301.9,262337,0,0,0.0717219240176898,"MPA","MPA",NA
"61",2004,"25-Sep-04","Pertigi Bay, Redang Island","Malaysia",5.76647,103.032,3,"Bleaching (% of population)",5,"ERG049",0,301.98,262337,0,0,0.0437999988935189,"MPA","MPA",NA
"62",2004,"23-Sep-04","Tg Tengah Southside, Pasir Panjang, Redang Island","Malaysia",5.77447,103.033,3.2,"Bleaching (% of population)",0,"ERG049",0,301.98,233911,0,0,0.0437999988935189,"MPA","MPA",NA
"63",2004,"23-Sep-04","Coral Resort House Reef, Redang Island","Malaysia",5.77583,103.034,3,"Bleaching (% of population)",3,"ERG049",0,301.98,231392,0,0,0.0437999988935189,"MPA","MPA",NA
"64",2003,"18-Oct-03","Coral Redang House Reef North","Malaysia",5.77722,103.034,6,"Bleaching (% of population)",0,"ERG049",0,300.69,230793,0,0,0.0499999987368938,"MPA","MPA",NA
"65",2003,"16-Oct-03","Mini Mount","Malaysia",5.76944,103.034,12,"Bleaching (% of population)",4,"ERG049",0,300.69,233911,0,0,0.0499999987368938,"MPA","MPA",NA
"66",2003,"17-Oct-03","Pulau Paku Kecil","Malaysia",5.76861,103.036,12,"Bleaching (% of population)",0,"ERG049",0,300.69,233911,0,0,0.0499999987368938,"MPA","MPA",NA
"67",2003,"18-Oct-03","Pelangi House Reef South","Malaysia",5.78278,103.036,7,"Bleaching (% of population)",0,"ERG049",0,300.69,200298,0,0,0.0499999987368938,"MPA","MPA",NA
"68",2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,10,"Bleaching (% of population)",7,"ERG049",0,300.69,0,0,0,0.0499999987368938,"Non MPA","Non MPA",NA
"69",2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,12,"Bleaching (% of population)",0,"ERG049",0,300.69,0,0,0,0.0499999987368938,"Non MPA","Non MPA",NA
"70",2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,6,"Bleaching (% of population)",0,"ERG049",0,302.23,0,0,0,0.0717219240176898,"Non MPA","Non MPA",NA
"71",2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,12,"Bleaching (% of population)",0,"ERG049",0,302.23,0,0,0,0.0717219240176898,"Non MPA","Non MPA",NA
"73",2004,"11-Jul-04","Palau Kerenga Kecil","Malaysia",5.75528,103.03,9.4,"Bleaching (% of population)",0,"ERG049",0,301.66,262337,0,0,0.109977021959124,"Non MPA","Non MPA",NA
"74",2004,"29-Aug-04","Tanjung Teluk Nyato","Malaysia",5.84611,103.03,8.7,"Bleaching (% of population)",0,"ERG049",0,301.69,0,0,0,0.0357999990956159,"Non MPA","Non MPA",NA
"75",2003,"19-Feb-03","Koh Mano (Minor)","Cambodia",10.8461,103.174,4.5,"Bleaching (% of population)",0,"ERG050",2.28,301.6,1466389,23473,0,0.0414518860090296,"Non MPA","Non MPA",NA
"76",2003,"22-Feb-03","Koh Mano (channel)","Cambodia",10.8389,103.182,2,"Bleaching (% of population)",0,"ERG050",2.28,301.6,581054,0,0,0.0414518860090296,"Non MPA","Non MPA",NA
"77",2003,"28-Feb-03","Koh Mano (south)","Cambodia",10.8256,103.193,4.5,"Bleaching (% of population)",0,"ERG050",1.08,303.02,0,0,0,0.171999995654915,"Non MPA","Non MPA",NA
"78",2003,"24-Feb-03","Koh Ta Team","Cambodia",10.8007,103.197,5,"Bleaching (% of population)",0,"ERG050",1.26,301.49,0,0,0,0.0419202457161036,"Non MPA","Non MPA",NA
"121",2007,"20-Apr-07","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,10,"Bleaching (% of population)",10,"ERG049",4.28,303.3,223921,0,0,0.0394916849740421,"MPA","MPA",NA
"122",2007,"01-Oct-07","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,11,"Bleaching (% of population)",0,"ERG049",4.22,302.49,223921,0,0,0.0569999985600589,"MPA","MPA",NA
"134",2007,"21-Apr-07","Pulau Lima Southern Tip","Malaysia",5.77169,103.059,10,"Bleaching (% of population)",22,"ERG049",4.28,303.3,0,0,0,0.0394916849740421,"Non MPA","Non MPA",NA
"135",2007,"01-Oct-07","Pulau Lima Southern Tip","Malaysia",5.77169,103.059,10,"Bleaching (% of population)",0,"ERG049",4.22,302.49,0,0,0,0.0569999985600589,"Non MPA","Non MPA",NA
"138",2004,"13-Jul-04","East Palau Pinang","Malaysia",5.73861,103.5,10,"Bleaching (% of population)",0,"ERG049",0,301.77,0,0,0,0.0509999987116316,"Non MPA","Non MPA",NA
"139",2003,"25-Feb-03","Koh Krosa Krao","Cambodia",11.0601,103.071,6,"Bleaching (% of population)",0,"ERG050",7.84,301.86,152892,0,0,0.11459999710496,"Non MPA","Non MPA",NA
"140",2003,"27-Feb-03","Koh Krosa Kandal","Cambodia",11.0662,103.077,3.2,"Bleaching (% of population)",0,"ERG050",6.152,303.1,168445,0,0,0.11459999710496,"Non MPA","Non MPA",NA
"143",2007,"10-Apr-07","Fresh Water Bay, Tenggol","Malaysia",4.80761,103.678,6,"Bleaching (% of population)",20,"ERG049",3.44,300.82,0,0,0,0.0447999988682568,"MPA","MPA",NA
"148",2004,"14-Aug-04","South Pinang","Malaysia",5.74889,103.783,11.2,"Bleaching (% of population)",0,"ERG049",0,301.25,0,0,0,0.0471999988076277,"Non MPA","Non MPA",NA
"149",2006,"16-May-06","PQO02","Vietnam",10.3592,103.809,5.5,"Bleaching (% of population)",0,"ERG050",0,302.09,0,0,0,0.116199997064541,"MPA","MPA",NA
"150",2006,"16-May-06","PQO01","Vietnam",10.3728,103.813,5.7,"Bleaching (% of population)",0,"ERG050",2.23,303.28,0,0,0,0.0365333584216079,"MPA","MPA",NA
"151",2003,"26-Feb-03","Koh Krosa Khnong","Cambodia",11.052,103.087,4.5,"Bleaching (% of population)",50,"ERG050",6.152,303.1,168445,115299,0,0.11459999710496,"Non MPA","Non MPA",NA
"152",2003,"18-Feb-03","Koh Smach","Cambodia",10.8968,103.099,3,"Bleaching (% of population)",0,"ERG050",3.75,302.41,417760,0,0,0.0967999975546263,"Non MPA","Non MPA",NA
"153",2006,"16-May-06","PQO03","Vietnam",10.3225,103.842,2.5,"Bleaching (% of population)",0,"ERG050",1.06,302.53,6695,0,0,0.0997999974788399,"MPA","MPA",NA
"154",2006,"16-May-06","PQO03","Vietnam",10.3225,103.842,5.5,"Bleaching (% of population)",0,"ERG050",1.06,302.53,6695,0,0,0.0997999974788399,"MPA","MPA",NA
"155",2006,"15-May-06","PQO04","Vietnam",10.2989,103.863,2.5,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,15956,9629,0,0.034285437527079,"MPA","MPA",NA
"156",2006,"15-May-06","PQO04","Vietnam",10.2989,103.863,6,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,15956,9629,0,0.034285437527079,"MPA","MPA",NA
"157",2006,"15-May-06","PQO05","Vietnam",10.2911,103.886,2.5,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,61240,0,0,0.034285437527079,"MPA","MPA",NA
"158",2006,"15-May-06","PQO05","Vietnam",10.2911,103.886,6,"Bleaching (% of population)",0,"ERG050",0.353333333,302.34,61240,0,0,0.034285437527079,"MPA","MPA",NA
"159",2007,"09-Apr-07","Turtle Bay, Tenggol","Malaysia",2.54447,103.925,6,"Bleaching (% of population)",0,"ERG049",1.92,302.42,0,0,0,0.100399997463683,"MPA","MPA",NA
"161",2006,"04-May-06","PQO12/Phu Quoc Site 9","Vietnam",9.91778,103.979,4.7,"Bleaching (% of population)",0,"ERG050",1.31,305.3,0,0,0,0.0783999980194494,"MPA","MPA",NA
"162",2006,"04-May-06","PQO13","Vietnam",9.92028,103.982,4.7,"Bleaching (% of population)",0,"ERG050",1.31,305.3,0,0,0,0.0849999978527194,"MPA","MPA",NA
"163",2006,"08-May-06","PQO17","Vietnam",9.90917,103.992,2.5,"Bleaching (% of population)",0,"ERG050",1.33,305.58,0,0,0,0.0849999978527194,"MPA","MPA",NA
"164",2006,"08-May-06","PQO17","Vietnam",9.90917,103.992,6.7,"Bleaching (% of population)",0,"ERG050",1.33,305.58,0,0,0,0.0849999978527194,"MPA","MPA",NA
"165",2006,"11-May-06","PQO16/Phu Quoc Site 7","Vietnam",9.91333,103.993,2.2,"Bleaching (% of population)",0,"ERG050",3.41,305.1,0,0,0,0.0849999978527194,"MPA","MPA",NA
"166",2006,"11-May-06","PQO16/Phu Quoc Site 7","Vietnam",9.91333,103.993,4.2,"Bleaching (% of population)",0,"ERG050",3.41,305.1,0,0,0,0.0849999978527194,"MPA","MPA",NA
"167",2006,"10-May-06","PQO14","Vietnam",9.92194,103.997,3.5,"Bleaching (% of population)",0,"ERG050",5.1,304.87,0,0,0,0.0849999978527194,"MPA","MPA",NA
"168",2006,"10-May-06","PQO14","Vietnam",9.92194,103.997,7,"Bleaching (% of population)",0,"ERG050",5.1,304.87,0,0,0,0.0849999978527194,"MPA","MPA",NA
"169",2006,"17-May-06","PQO07","Vietnam",10.0003,104.009,4.7,"Bleaching (% of population)",0,"ERG050",3.698571429,303.7428571,0,0,0,0.0885999977617757,"MPA","MPA",NA
"170",2006,"07-May-06","PQO09","Vietnam",9.96917,104.011,2.2,"Bleaching (% of population)",0,"ERG050",3.95,305.41,0,0,0,0.0867999978072476,"MPA","MPA",NA
"171",2006,"07-May-06","PQO09","Vietnam",9.96917,104.011,6.2,"Bleaching (% of population)",0,"ERG050",3.95,305.41,0,0,0,0.0867999978072476,"MPA","MPA",NA
"172",2006,"05-May-06","PQO10","Vietnam",9.95667,104.012,2.8,"Bleaching (% of population)",0,"ERG050",3.95,305.41,0,0,0,0.0867999978072476,"MPA","MPA",NA
"173",2006,"05-May-06","PQO10","Vietnam",9.95667,104.012,6,"Bleaching (% of population)",0,"ERG050",3.95,305.41,0,0,0,0.0867999978072476,"MPA","MPA",NA
"174",2006,"03-May-06","May Rut Trong/PQO15/Phu Quoc Site 5","Vietnam",9.92286,104.002,3,"Bleaching (% of population)",0,"ERG050",3.45,305.2,0,0,0,0.0849999978527194,"MPA","MPA",NA
"175",2006,"03-May-06","May Rut Trong/PQO15/Phu Quoc Site 5","Vietnam",9.92286,104.002,6.7,"Bleaching (% of population)",0,"ERG050",3.45,305.2,0,0,0,0.0849999978527194,"MPA","MPA",NA
"176",2006,"02-May-06","PQO18","Vietnam",9.91444,104.017,2.5,"Bleaching (% of population)",0,"ERG050",2.19,304.8,0,0,0,0.0849999978527194,"MPA","MPA",NA
"177",2006,"02-May-06","PQO18","Vietnam",9.91444,104.017,5.7,"Bleaching (% of population)",0,"ERG050",2.19,304.8,0,0,0,0.0849999978527194,"MPA","MPA",NA
"178",2006,"14-May-06","PQO11","Vietnam",9.92111,104.02,3,"Bleaching (% of population)",0,"ERG050",5.1,304.87,0,0,0,0.0849999978527194,"MPA","MPA",NA
"179",2006,"14-May-06","PQO11","Vietnam",9.92111,104.02,5.2,"Bleaching (% of population)",0,"ERG050",5.1,304.87,0,0,0,0.0849999978527194,"MPA","MPA",NA
"180",2006,"14-May-06","PQO19","Vietnam",9.91861,104.02,2.7,"Bleaching (% of population)",0,"ERG050",5.1,304.87,0,0,0,0.0849999978527194,"MPA","MPA",NA
"181",2006,"14-May-06","PQO19","Vietnam",9.91861,104.02,6,"Bleaching (% of population)",0,"ERG050",5.1,304.87,0,0,0,0.0849999978527194,"MPA","MPA",NA
"182",2006,"09-May-06","PQO20/Phu Quoc Site 10","Vietnam",9.90639,104.021,3.7,"Bleaching (% of population)",0,"ERG050",1.33,305.58,0,0,0,0.0363665920016566,"MPA","MPA",NA
"183",2006,"09-May-06","PQO20/Phu Quoc Site 10","Vietnam",9.90639,104.021,7.7,"Bleaching (% of population)",0,"ERG050",1.33,305.58,0,0,0,0.0363665920016566,"MPA","MPA",NA
"184",2006,"06-May-06","PQO06/Phu Quoc Site 1","Vietnam",10.0047,104.029,2.2,"Bleaching (% of population)",0,"ERG050",1.648571429,304.55,0,0,0,0.0350007325224811,"MPA","MPA",NA
"185",2006,"06-May-06","PQO06/Phu Quoc Site 1","Vietnam",10.0047,104.029,5.5,"Bleaching (% of population)",0,"ERG050",1.648571429,304.55,0,0,0,0.0350007325224811,"MPA","MPA",NA
"186",2006,"17-May-06","PQO08","Vietnam",9.99472,104.039,3.5,"Bleaching (% of population)",0,"ERG050",5,304.48,0,0,0,0.0350007325224811,"MPA","MPA",NA
"187",2004,"16-Apr-04","Pirates Reef","Malaysia",2.82417,104.157,7,"Bleaching (% of population)",2,"ERG049",1.0625,302.56,0,0,0,0.0401309697103975,"MPA","MPA",NA
"188",2006,"22-Apr-06","Pirates Reef","Malaysia",2.82417,104.157,9,"Bleaching (% of population)",0,"ERG049",4.6975,305.3,0,0,0,0.0417960839553278,"MPA","MPA",NA
"189",2007,"20-Apr-07","Pirates Reef","Malaysia",2.82417,104.157,8,"Bleaching (% of population)",0,"ERG049",2.805,303.445,0,0,0,0.0375676592246292,"MPA","MPA",NA
"190",2007,"24-Aug-07","Pirates Reef","Malaysia",2.82417,104.157,7,"Bleaching (% of population)",0,"ERG049",0.5175,301.1425,0,0,0,0.0458874233012178,"MPA","MPA",NA
"191",2007,"17-Oct-07","Pirates Reef","Malaysia",2.82417,104.157,8,"Bleaching (% of population)",0,"ERG049",0,301.7175,0,0,0,0.0623190522170039,"MPA","MPA",NA
"198",2006,"28-Oct-06","Pulau Lang (off Pulau Aur)","Malaysia",2.47039,104.499,5,"Bleaching (% of population)",3,"ERG049",0,301.16,0,0,0,0.0513892003394659,"Non MPA","Non MPA",NA
"199",2006,"28-Oct-06","Pulau Lang (off Pulau Aur)","Malaysia",2.47039,104.499,10,"Bleaching (% of population)",0,"ERG049",0,301.16,0,0,0,0.0513892003394659,"Non MPA","Non MPA",NA
"200",2006,"29-Oct-06","Pulau Lang (off Pulau Aur)","Malaysia",2.47039,104.499,10,"Bleaching (% of population)",3,"ERG049",0,301.16,0,0,0,0.0513892003394659,"Non MPA","Non MPA",NA
"213",2007,"21-Apr-07","Malang Rock","Malaysia",2.90231,104.102,8,"Bleaching (% of population)",0,"ERG049",0,302.07,22577,22577,11657,0.0395999989996199,"MPA","MPA",NA
"214",2007,"15-Sep-07","Malang Rock","Malaysia",2.90231,104.102,7.5,"Bleaching (% of population)",0,"ERG049",0,302.66,22577,22577,11657,0.0491422932255822,"MPA","MPA",NA
"220",2007,"21-Apr-07","Kador Bay/Teluk Kador","Malaysia",2.91486,104.108,8,"Bleaching (% of population)",0,"ERG049",0,302.07,22577,22577,22577,0.0393999990046723,"Non MPA","Non MPA",NA
"221",2007,"15-Sep-07","Kador Bay/Teluk Kador","Malaysia",2.91486,104.108,7.5,"Bleaching (% of population)",0,"ERG049",0,302.66,22577,22577,22577,0.0491422932255822,"Non MPA","Non MPA",NA
"225",2006,"23-Apr-06","Renggis North Side","Malaysia",2.81,104.136,6,"Bleaching (% of population)",0,"ERG049",3.41,305.0625,9912,0,0,0.0503999987267889,"Non MPA","Non MPA",NA
"226",2007,"20-Apr-07","Renggis Island North Side","Malaysia",2.80936,104.135,8,"Bleaching (% of population)",0,"ERG049",0,302.8975,9912,0,0,0.0349999991158256,"Non MPA","Non MPA",NA
"227",2007,"16-Sep-07","Renggis Island North Side","Malaysia",2.80936,104.135,7,"Bleaching (% of population)",0,"ERG049",1.08,302.4175,9912,0,0,0.0510353107350927,"Non MPA","Non MPA",NA
"233",2007,"25-Jul-07","Renggis Island South Side","Malaysia",2.81047,104.136,6,"Bleaching (% of population)",0,"ERG049",1.08,301.5375,9912,0,0,0.0747999981103931,"Non MPA","Non MPA",NA
"234",2007,"15-Sep-07","Renggis Island South Side","Malaysia",2.81047,104.136,7.3,"Bleaching (% of population)",0,"ERG049",1.08,302.4175,9912,0,0,0.0510353107350927,"Non MPA","Non MPA",NA
"236",2007,"25-Jul-07","Soyak Island","Malaysia",2.81669,104.151,5,"Bleaching (% of population)",0,"ERG049",1.08,301.5375,0,0,0,0.0414901823391406,"Non MPA","Non MPA",NA
"237",2007,"20-Oct-07","Soyak Island","Malaysia",2.81669,104.151,6,"Bleaching (% of population)",0,"ERG049",0,302.145,0,0,0,0.0616832129589253,"Non MPA","Non MPA",NA
"241",2007,"24-Jul-07","Terek House Reef","Malaysia",2.81503,104.152,4,"Bleaching (% of population)",0,"ERG049",1.08,301.3175,0,0,0,0.0414901823391406,"Non MPA","Non MPA",NA
"244",2003,"29-Oct-03","Flying Fish Cove","Australia",-10.4292,105.667,3.5,"Bleaching (% of population)",0,"ERG105",0,299.3283333,0,0,0,0.0425999989238335,"Non MPA","Non MPA",NA
"245",2003,"29-Oct-03","Flying Fish Cove","Australia",-10.4292,105.667,6.5,"Bleaching (% of population)",0,"ERG105",0,299.3283333,0,0,0,0.0425999989238335,"Non MPA","Non MPA",NA
"246",2004,"24-Sep-04","Flying Fish Cove","Australia",-10.4292,105.667,3.5,"Bleaching (% of population)",0,"ERG105",0.211666667,299.275,0,0,0,0.0438419983900716,"Non MPA","Non MPA",NA
"247",2004,"24-Sep-04","Flying Fish Cove","Australia",-10.4292,105.667,7,"Bleaching (% of population)",0,"ERG105",0.211666667,299.275,0,0,0,0.0438419983900716,"Non MPA","Non MPA",NA
"248",2005,"10-Oct-05","Flying Fish Cove","Australia",-10.4292,105.667,4,"Bleaching (% of population)",2,"ERG105",4.58,299.375,0,0,0,0.0388102687782071,"Non MPA","Non MPA",NA
"249",2005,"10-Oct-05","Flying Fish Cove","Australia",-10.4292,105.667,6,"Bleaching (% of population)",1,"ERG105",4.58,299.375,0,0,0,0.0388102687782071,"Non MPA","Non MPA",NA
"250",2006,"30-Oct-06","Flying Fish Cove","Australia",-10.4292,105.667,8,"Bleaching (% of population)",2,"ERG105",0,299.545,0,0,0,0.0421999989339383,"Non MPA","Non MPA",NA
"251",2006,"31-Oct-06","Flying Fish Cove","Australia",-10.4292,105.667,4,"Bleaching (% of population)",1,"ERG105",0,299.545,0,0,0,0.0421999989339383,"Non MPA","Non MPA",NA
"252",2007,"19-Sep-07","Flying Fish Cove","Australia",-10.4292,105.667,4,"Bleaching (% of population)",0,"ERG105",1.015,298.575,0,0,0,0.0366733198180914,"Non MPA","Non MPA",NA
"253",2007,"20-Sep-07","Flying Fish Cove","Australia",-10.4292,105.667,8,"Bleaching (% of population)",0,"ERG105",1.015,298.575,0,0,0,0.0366733198180914,"Non MPA","Non MPA",NA
"254",2003,"27-Oct-03","Chicken Farm","Australia",-10.4154,105.685,6,"Bleaching (% of population)",0,"ERG105",0,299.1166667,0,0,0,0.0425999989238335,"Non MPA","Non MPA",NA
"255",2003,"27-Oct-03","Chicken Farm","Australia",-10.4154,105.685,11,"Bleaching (% of population)",0,"ERG105",0,299.1166667,0,0,0,0.0425999989238335,"Non MPA","Non MPA",NA
"256",2004,"14-Oct-04","Chicken Farm","Australia",-10.4154,105.685,5.5,"Bleaching (% of population)",0,"ERG105",0.211666667,299.2766667,0,0,0,0.0377999990450917,"Non MPA","Non MPA",NA
"257",2004,"14-Oct-04","Chicken Farm","Australia",-10.4154,105.685,10.5,"Bleaching (% of population)",0,"ERG105",0.211666667,299.2766667,0,0,0,0.0377999990450917,"Non MPA","Non MPA",NA
"258",2005,"12-Oct-05","Chicken Farm","Australia",-10.4154,105.685,6,"Bleaching (% of population)",1,"ERG105",2.995,299.8366667,0,0,0,0.0388102687782071,"Non MPA","Non MPA",NA
"259",2005,"12-Oct-05","Chicken Farm","Australia",-10.4154,105.685,10,"Bleaching (% of population)",2,"ERG105",2.995,299.8366667,0,0,0,0.0388102687782071,"Non MPA","Non MPA",NA
"260",2006,"10-Oct-06","Chicken Farm","Australia",-10.4154,105.685,6,"Bleaching (% of population)",1,"ERG105",0,299.7,0,0,0,0.0421999989339383,"Non MPA","Non MPA",NA
"261",2006,"11-Oct-06","Chicken Farm","Australia",-10.4154,105.685,10,"Bleaching (% of population)",0,"ERG105",0,299.0316667,0,0,0,0.0421999989339383,"Non MPA","Non MPA",NA
"262",2007,"23-Sep-07","Chicken Farm","Australia",-10.4154,105.685,4,"Bleaching (% of population)",0,"ERG105",1.015,298.575,0,0,0,0.0366733198180914,"Non MPA","Non MPA",NA
